;;;Rg;Identité;Total;1;2;3;4;5;6;F;MG;MF;courses par catégorie d'âge;catégorie d'âge;CHPT DPT route;ROUTE;CHPT DPT clm;CLM INDIV;CHPT DPT cyclo-cross;CYCLO-CROSS;% route;% CLM;% CYCLO-CROSS;;;;;;;;;;;;;;
C_27;000071-BAEZA Jean-François;0,1204;362;71-BAEZA Jean-François;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71-BAEZA Jean-François-1;71-BAEZA Jean-François-2;71-BAEZA Jean-François-3;71-BAEZA Jean-François-4;71-BAEZA Jean-François-5;71-BAEZA Jean-François-6;71-BAEZA Jean-François-F;71-BAEZA Jean-François-MG;71-BAEZA Jean-François-MF;1204;A;0;71-BAEZA Jean-François-A;71-BAEZA Jean-François-CHPT DPT route;71-BAEZA Jean-François-ROUTE;71-BAEZA Jean-François-CHPT DPT clm;71-BAEZA Jean-François-CLM INDIV;71-BAEZA Jean-François-CHPT DPT cyclo-cross;71-BAEZA Jean-François-CYCLO-CROSS
C_28;000071-BAILLY Luc;0,1203;363;71-BAILLY Luc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71-BAILLY Luc-1;71-BAILLY Luc-2;71-BAILLY Luc-3;71-BAILLY Luc-4;71-BAILLY Luc-5;71-BAILLY Luc-6;71-BAILLY Luc-F;71-BAILLY Luc-MG;71-BAILLY Luc-MF;1203;A;0;71-BAILLY Luc-A;71-BAILLY Luc-CHPT DPT route;71-BAILLY Luc-ROUTE;71-BAILLY Luc-CHPT DPT clm;71-BAILLY Luc-CLM INDIV;71-BAILLY Luc-CHPT DPT cyclo-cross;71-BAILLY Luc-CYCLO-CROSS
C_29;900071-BAILLY Marius;9000,1202;90;71-BAILLY Marius;9;0;0;1;7;0;0;0;0;0;0;9;0;0;0;0;71-BAILLY Marius-1;71-BAILLY Marius-2;71-BAILLY Marius-3;71-BAILLY Marius-4;71-BAILLY Marius-5;71-BAILLY Marius-6;71-BAILLY Marius-F;71-BAILLY Marius-MG;71-BAILLY Marius-MF;1202;S;1;71-BAILLY Marius-S;71-BAILLY Marius-CHPT DPT route;71-BAILLY Marius-ROUTE;71-BAILLY Marius-CHPT DPT clm;71-BAILLY Marius-CLM INDIV;71-BAILLY Marius-CHPT DPT cyclo-cross;71-BAILLY Marius-CYCLO-CROSS
C_30;600071-BAILLY Matthieu;6000,1201;160;71-BAILLY Matthieu;6;0;0;0;6;0;0;0;0;0;1;5;0;0;0;0;71-BAILLY Matthieu-1;71-BAILLY Matthieu-2;71-BAILLY Matthieu-3;71-BAILLY Matthieu-4;71-BAILLY Matthieu-5;71-BAILLY Matthieu-6;71-BAILLY Matthieu-F;71-BAILLY Matthieu-MG;71-BAILLY Matthieu-MF;1201;S;0;71-BAILLY Matthieu-S;71-BAILLY Matthieu-CHPT DPT route;71-BAILLY Matthieu-ROUTE;71-BAILLY Matthieu-CHPT DPT clm;71-BAILLY Matthieu-CLM INDIV;71-BAILLY Matthieu-CHPT DPT cyclo-cross;71-BAILLY Matthieu-CYCLO-CROSS
C_31;000071-BAILLY Nicolas;0,12;364;71-BAILLY Nicolas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71-BAILLY Nicolas-1;71-BAILLY Nicolas-2;71-BAILLY Nicolas-3;71-BAILLY Nicolas-4;71-BAILLY Nicolas-5;71-BAILLY Nicolas-6;71-BAILLY Nicolas-F;71-BAILLY Nicolas-MG;71-BAILLY Nicolas-MF;1200;SV;0;71-BAILLY Nicolas-SV;71-BAILLY Nicolas-CHPT DPT route;71-BAILLY Nicolas-ROUTE;71-BAILLY Nicolas-CHPT DPT clm;71-BAILLY Nicolas-CLM INDIV;71-BAILLY Nicolas-CHPT DPT cyclo-cross;71-BAILLY Nicolas-CYCLO-CROSS
C_32;000071-BAILLY-CORNOT Marine(F);0,1199;365;71-BAILLY-CORNOT Marine(F);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71-BAILLY-CORNOT Marine(F)-1;71-BAILLY-CORNOT Marine(F)-2;71-BAILLY-CORNOT Marine(F)-3;71-BAILLY-CORNOT Marine(F)-4;71-BAILLY-CORNOT Marine(F)-5;71-BAILLY-CORNOT Marine(F)-6;71-BAILLY-CORNOT Marine(F)-F;71-BAILLY-CORNOT Marine(F)-MG;71-BAILLY-CORNOT Marine(F)-MF;1199;S;0;71-BAILLY-CORNOT Marine(F)-S;71-BAILLY-CORNOT Marine(F)-CHPT DPT route;71-BAILLY-CORNOT Marine(F)-ROUTE;71-BAILLY-CORNOT Marine(F)-CHPT DPT clm;71-BAILLY-CORNOT Marine(F)-CLM INDIV;71-BAILLY-CORNOT Marine(F)-CHPT DPT cyclo-cross;71-BAILLY-CORNOT Marine(F)-CYCLO-CROSS
C_33;000071-BAJARD Patrick;0,1198;366;71-BAJARD Patrick;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71-BAJARD Patrick-1;71-BAJARD Patrick-2;71-BAJARD Patrick-3;71-BAJARD Patrick-4;71-BAJARD Patrick-5;71-BAJARD Patrick-6;71-BAJARD Patrick-F;71-BAJARD Patrick-MG;71-BAJARD Patrick-MF;1198;SA;0;71-BAJARD Patrick-SA;71-BAJARD Patrick-CHPT DPT route;71-BAJARD Patrick-ROUTE;71-BAJARD Patrick-CHPT DPT clm;71-BAJARD Patrick-CLM INDIV;71-BAJARD Patrick-CHPT DPT cyclo-cross;71-BAJARD Patrick-CYCLO-CROSS
C_34;000071-BALLUFIER Hervé;0,1197;367;71-BALLUFIER Hervé;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71-BALLUFIER Hervé-1;71-BALLUFIER Hervé-2;71-BALLUFIER Hervé-3;71-BALLUFIER Hervé-4;71-BALLUFIER Hervé-5;71-BALLUFIER Hervé-6;71-BALLUFIER Hervé-F;71-BALLUFIER Hervé-MG;71-BALLUFIER Hervé-MF;1197;A;0;71-BALLUFIER Hervé-A;71-BALLUFIER Hervé-CHPT DPT route;71-BALLUFIER Hervé-ROUTE;71-BALLUFIER Hervé-CHPT DPT clm;71-BALLUFIER Hervé-CLM INDIV;71-BALLUFIER Hervé-CHPT DPT cyclo-cross;71-BALLUFIER Hervé-CYCLO-CROSS
C_35;000071-BALORIN Philippe;0,1196;368;71-BALORIN Philippe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71-BALORIN Philippe-1;71-BALORIN Philippe-2;71-BALORIN Philippe-3;71-BALORIN Philippe-4;71-BALORIN Philippe-5;71-BALORIN Philippe-6;71-BALORIN Philippe-F;71-BALORIN Philippe-MG;71-BALORIN Philippe-MF;1196;A;0;71-BALORIN Philippe-A;71-BALORIN Philippe-CHPT DPT route;71-BALORIN Philippe-ROUTE;71-BALORIN Philippe-CHPT DPT clm;71-BALORIN Philippe-CLM INDIV;71-BALORIN Philippe-CHPT DPT cyclo-cross;71-BALORIN Philippe-CYCLO-CROSS
C_36;000071-BARAULT Matthias;0,1195;369;71-BARAULT Matthias;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71-BARAULT Matthias-1;71-BARAULT Matthias-2;71-BARAULT Matthias-3;71-BARAULT Matthias-4;71-BARAULT Matthias-5;71-BARAULT Matthias-6;71-BARAULT Matthias-F;71-BARAULT Matthias-MG;71-BARAULT Matthias-MF;1195;SV;0;71-BARAULT Matthias-SV;71-BARAULT Matthias-CHPT DPT route;71-BARAULT Matthias-ROUTE;71-BARAULT Matthias-CHPT DPT clm;71-BARAULT Matthias-CLM INDIV;71-BARAULT Matthias-CHPT DPT cyclo-cross;71-BARAULT Matthias-CYCLO-CROSS
C_37;000071-BARLETTA Florian;0,1194;370;71-BARLETTA Florian;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71-BARLETTA Florian-1;71-BARLETTA Florian-2;71-BARLETTA Florian-3;71-BARLETTA Florian-4;71-BARLETTA Florian-5;71-BARLETTA Florian-6;71-BARLETTA Florian-F;71-BARLETTA Florian-MG;71-BARLETTA Florian-MF;1194;V;0;71-BARLETTA Florian-V;71-BARLETTA Florian-CHPT DPT route;71-BARLETTA Florian-ROUTE;71-BARLETTA Florian-CHPT DPT clm;71-BARLETTA Florian-CLM INDIV;71-BARLETTA Florian-CHPT DPT cyclo-cross;71-BARLETTA Florian-CYCLO-CROSS
C_38;000071-BARNAY Pierre;0,1193;371;71-BARNAY Pierre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71-BARNAY Pierre-1;71-BARNAY Pierre-2;71-BARNAY Pierre-3;71-BARNAY Pierre-4;71-BARNAY Pierre-5;71-BARNAY Pierre-6;71-BARNAY Pierre-F;71-BARNAY Pierre-MG;71-BARNAY Pierre-MF;1193;A;0;71-BARNAY Pierre-A;71-BARNAY Pierre-CHPT DPT route;71-BARNAY Pierre-ROUTE;71-BARNAY Pierre-CHPT DPT clm;71-BARNAY Pierre-CLM INDIV;71-BARNAY Pierre-CHPT DPT cyclo-cross;71-BARNAY Pierre-CYCLO-CROSS
C_39;1200071-BARRAUD Serge;12000,1192;51;71-BARRAUD Serge;12;0;0;0;0;6;6;0;0;0;1;10;0;1;0;0;71-BARRAUD Serge-1;71-BARRAUD Serge-2;71-BARRAUD Serge-3;71-BARRAUD Serge-4;71-BARRAUD Serge-5;71-BARRAUD Serge-6;71-BARRAUD Serge-F;71-BARRAUD Serge-MG;71-BARRAUD Serge-MF;1192;A;0;71-BARRAUD Serge-A;71-BARRAUD Serge-CHPT DPT route;71-BARRAUD Serge-ROUTE;71-BARRAUD Serge-CHPT DPT clm;71-BARRAUD Serge-CLM INDIV;71-BARRAUD Serge-CHPT DPT cyclo-cross;71-BARRAUD Serge-CYCLO-CROSS
C_40;000071-BASSET Jean-Marc;0,1191;372;71-BASSET Jean-Marc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71-BASSET Jean-Marc-1;71-BASSET Jean-Marc-2;71-BASSET Jean-Marc-3;71-BASSET Jean-Marc-4;71-BASSET Jean-Marc-5;71-BASSET Jean-Marc-6;71-BASSET Jean-Marc-F;71-BASSET Jean-Marc-MG;71-BASSET Jean-Marc-MF;1191;A;0;71-BASSET Jean-Marc-A;71-BASSET Jean-Marc-CHPT DPT route;71-BASSET Jean-Marc-ROUTE;71-BASSET Jean-Marc-CHPT DPT clm;71-BASSET Jean-Marc-CLM INDIV;71-BASSET Jean-Marc-CHPT DPT cyclo-cross;71-BASSET Jean-Marc-CYCLO-CROSS
C_41;500071-BAUDET Alain;5000,119;179;71-BAUDET Alain;5;0;0;0;0;5;0;0;0;0;0;5;0;0;0;0;71-BAUDET Alain-1;71-BAUDET Alain-2;71-BAUDET Alain-3;71-BAUDET Alain-4;71-BAUDET Alain-5;71-BAUDET Alain-6;71-BAUDET Alain-F;71-BAUDET Alain-MG;71-BAUDET Alain-MF;1190;A;0;71-BAUDET Alain-A;71-BAUDET Alain-CHPT DPT route;71-BAUDET Alain-ROUTE;71-BAUDET Alain-CHPT DPT clm;71-BAUDET Alain-CLM INDIV;71-BAUDET Alain-CHPT DPT cyclo-cross;71-BAUDET Alain-CYCLO-CROSS
C_42;400071-BAUDIN Thibaut;4000,1189;214;71-BAUDIN Thibaut;4;0;0;0;4;0;0;0;0;0;0;4;0;0;0;0;71-BAUDIN Thibaut-1;71-BAUDIN Thibaut-2;71-BAUDIN Thibaut-3;71-BAUDIN Thibaut-4;71-BAUDIN Thibaut-5;71-BAUDIN Thibaut-6;71-BAUDIN Thibaut-F;71-BAUDIN Thibaut-MG;71-BAUDIN Thibaut-MF;1189;E;0;71-BAUDIN Thibaut-E;71-BAUDIN Thibaut-CHPT DPT route;71-BAUDIN Thibaut-ROUTE;71-BAUDIN Thibaut-CHPT DPT clm;71-BAUDIN Thibaut-CLM INDIV;71-BAUDIN Thibaut-CHPT DPT cyclo-cross;71-BAUDIN Thibaut-CYCLO-CROSS
C_43;000071-BAUDOIN Aude;0,1188;373;71-BAUDOIN Aude;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71-BAUDOIN Aude-1;71-BAUDOIN Aude-2;71-BAUDOIN Aude-3;71-BAUDOIN Aude-4;71-BAUDOIN Aude-5;71-BAUDOIN Aude-6;71-BAUDOIN Aude-F;71-BAUDOIN Aude-MG;71-BAUDOIN Aude-MF;1188;S;0;71-BAUDOIN Aude-S;71-BAUDOIN Aude-CHPT DPT route;71-BAUDOIN Aude-ROUTE;71-BAUDOIN Aude-CHPT DPT clm;71-BAUDOIN Aude-CLM INDIV;71-BAUDOIN Aude-CHPT DPT cyclo-cross;71-BAUDOIN Aude-CYCLO-CROSS
C_44;000071-BEAU Annie;0,1187;374;71-BEAU Annie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71-BEAU Annie-1;71-BEAU Annie-2;71-BEAU Annie-3;71-BEAU Annie-4;71-BEAU Annie-5;71-BEAU Annie-6;71-BEAU Annie-F;71-BEAU Annie-MG;71-BEAU Annie-MF;1187;A;0;71-BEAU Annie-A;71-BEAU Annie-CHPT DPT route;71-BEAU Annie-ROUTE;71-BEAU Annie-CHPT DPT clm;71-BEAU Annie-CLM INDIV;71-BEAU Annie-CHPT DPT cyclo-cross;71-BEAU Annie-CYCLO-CROSS
C_45;1100071-BEAUFILS Christophe;11000,1186;65;71-BEAUFILS Christophe;11;0;8;3;0;0;0;0;0;0;1;10;0;0;0;0;71-BEAUFILS Christophe-1;71-BEAUFILS Christophe-2;71-BEAUFILS Christophe-3;71-BEAUFILS Christophe-4;71-BEAUFILS Christophe-5;71-BEAUFILS Christophe-6;71-BEAUFILS Christophe-F;71-BEAUFILS Christophe-MG;71-BEAUFILS Christophe-MF;1186;SV;0;71-BEAUFILS Christophe-SV;71-BEAUFILS Christophe-CHPT DPT route;71-BEAUFILS Christophe-ROUTE;71-BEAUFILS Christophe-CHPT DPT clm;71-BEAUFILS Christophe-CLM INDIV;71-BEAUFILS Christophe-CHPT DPT cyclo-cross;71-BEAUFILS Christophe-CYCLO-CROSS
C_46;1100071-BEAUSOLEIL Laurent;11000,1185;66;71-BEAUSOLEIL Laurent;11;0;9;0;0;0;0;0;0;0;0;9;0;0;0;2;71-BEAUSOLEIL Laurent-1;71-BEAUSOLEIL Laurent-2;71-BEAUSOLEIL Laurent-3;71-BEAUSOLEIL Laurent-4;71-BEAUSOLEIL Laurent-5;71-BEAUSOLEIL Laurent-6;71-BEAUSOLEIL Laurent-F;71-BEAUSOLEIL Laurent-MG;71-BEAUSOLEIL Laurent-MF;1185;SV;2;71-BEAUSOLEIL Laurent-SV;71-BEAUSOLEIL Laurent-CHPT DPT route;71-BEAUSOLEIL Laurent-ROUTE;71-BEAUSOLEIL Laurent-CHPT DPT clm;71-BEAUSOLEIL Laurent-CLM INDIV;71-BEAUSOLEIL Laurent-CHPT DPT cyclo-cross;71-BEAUSOLEIL Laurent-CYCLO-CROSS
C_47;200071-BEIRNAERT Mickaël;2000,1184;260;71-BEIRNAERT Mickaël;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;71-BEIRNAERT Mickaël-1;71-BEIRNAERT Mickaël-2;71-BEIRNAERT Mickaël-3;71-BEIRNAERT Mickaël-4;71-BEIRNAERT Mickaël-5;71-BEIRNAERT Mickaël-6;71-BEIRNAERT Mickaël-F;71-BEIRNAERT Mickaël-MG;71-BEIRNAERT Mickaël-MF;1184;V;0;71-BEIRNAERT Mickaël-V;71-BEIRNAERT Mickaël-CHPT DPT route;71-BEIRNAERT Mickaël-ROUTE;71-BEIRNAERT Mickaël-CHPT DPT clm;71-BEIRNAERT Mickaël-CLM INDIV;71-BEIRNAERT Mickaël-CHPT DPT cyclo-cross;71-BEIRNAERT Mickaël-CYCLO-CROSS
C_48;500071-BELIN Axel (cadet);5000,1183;180;71-BELIN Axel (cadet);5;0;0;0;0;5;0;0;0;0;0;5;0;0;0;0;71-BELIN Axel (cadet)-1;71-BELIN Axel (cadet)-2;71-BELIN Axel (cadet)-3;71-BELIN Axel (cadet)-4;71-BELIN Axel (cadet)-5;71-BELIN Axel (cadet)-6;71-BELIN Axel (cadet)-F;71-BELIN Axel (cadet)-MG;71-BELIN Axel (cadet)-MF;1183;C;0;71-BELIN Axel (cadet)-C;71-BELIN Axel (cadet)-CHPT DPT route;71-BELIN Axel (cadet)-ROUTE;71-BELIN Axel (cadet)-CHPT DPT clm;71-BELIN Axel (cadet)-CLM INDIV;71-BELIN Axel (cadet)-CHPT DPT cyclo-cross;71-BELIN Axel (cadet)-CYCLO-CROSS
C_49;1200071-BELLEVRAT Titien;12000,1182;52;71-BELLEVRAT Titien;12;0;0;0;0;0;0;0;12;0;1;9;0;2;0;0;71-BELLEVRAT Titien-1;71-BELLEVRAT Titien-2;71-BELLEVRAT Titien-3;71-BELLEVRAT Titien-4;71-BELLEVRAT Titien-5;71-BELLEVRAT Titien-6;71-BELLEVRAT Titien-F;71-BELLEVRAT Titien-MG;71-BELLEVRAT Titien-MF;1182;M;0;71-BELLEVRAT Titien-M;71-BELLEVRAT Titien-CHPT DPT route;71-BELLEVRAT Titien-ROUTE;71-BELLEVRAT Titien-CHPT DPT clm;71-BELLEVRAT Titien-CLM INDIV;71-BELLEVRAT Titien-CHPT DPT cyclo-cross;71-BELLEVRAT Titien-CYCLO-CROSS
C_50;000071-BELOT Pascal;0,1181;375;71-BELOT Pascal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71-BELOT Pascal-1;71-BELOT Pascal-2;71-BELOT Pascal-3;71-BELOT Pascal-4;71-BELOT Pascal-5;71-BELOT Pascal-6;71-BELOT Pascal-F;71-BELOT Pascal-MG;71-BELOT Pascal-MF;1181;A;0;71-BELOT Pascal-A;71-BELOT Pascal-CHPT DPT route;71-BELOT Pascal-ROUTE;71-BELOT Pascal-CHPT DPT clm;71-BELOT Pascal-CLM INDIV;71-BELOT Pascal-CHPT DPT cyclo-cross;71-BELOT Pascal-CYCLO-CROSS
C_51;1400071-BERARD Jean-Philippe;14000,118;39;71-BERARD Jean-Philippe;14;0;13;0;0;0;0;0;0;0;1;10;0;4;1;1;71-BERARD Jean-Philippe-1;71-BERARD Jean-Philippe-2;71-BERARD Jean-Philippe-3;71-BERARD Jean-Philippe-4;71-BERARD Jean-Philippe-5;71-BERARD Jean-Philippe-6;71-BERARD Jean-Philippe-F;71-BERARD Jean-Philippe-MG;71-BERARD Jean-Philippe-MF;1180;A;1;71-BERARD Jean-Philippe-A;71-BERARD Jean-Philippe-CHPT DPT route;71-BERARD Jean-Philippe-ROUTE;71-BERARD Jean-Philippe-CHPT DPT clm;71-BERARD Jean-Philippe-CLM INDIV;71-BERARD Jean-Philippe-CHPT DPT cyclo-cross;71-BERARD Jean-Philippe-CYCLO-CROSS
C_52;200071-BERARD Valentin;2000,1179;261;71-BERARD Valentin;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;71-BERARD Valentin-1;71-BERARD Valentin-2;71-BERARD Valentin-3;71-BERARD Valentin-4;71-BERARD Valentin-5;71-BERARD Valentin-6;71-BERARD Valentin-F;71-BERARD Valentin-MG;71-BERARD Valentin-MF;1179;S;0;71-BERARD Valentin-S;71-BERARD Valentin-CHPT DPT route;71-BERARD Valentin-ROUTE;71-BERARD Valentin-CHPT DPT clm;71-BERARD Valentin-CLM INDIV;71-BERARD Valentin-CHPT DPT cyclo-cross;71-BERARD Valentin-CYCLO-CROSS
C_53;000071-BERGERY Léon;0,1178;376;71-BERGERY Léon;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71-BERGERY Léon-1;71-BERGERY Léon-2;71-BERGERY Léon-3;71-BERGERY Léon-4;71-BERGERY Léon-5;71-BERGERY Léon-6;71-BERGERY Léon-F;71-BERGERY Léon-MG;71-BERGERY Léon-MF;1178;J;0;71-BERGERY Léon-J;71-BERGERY Léon-CHPT DPT route;71-BERGERY Léon-ROUTE;71-BERGERY Léon-CHPT DPT clm;71-BERGERY Léon-CLM INDIV;71-BERGERY Léon-CHPT DPT cyclo-cross;71-BERGERY Léon-CYCLO-CROSS
C_54;000071-BERGERY Sophie(F);0,1177;377;71-BERGERY Sophie(F);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71-BERGERY Sophie(F)-1;71-BERGERY Sophie(F)-2;71-BERGERY Sophie(F)-3;71-BERGERY Sophie(F)-4;71-BERGERY Sophie(F)-5;71-BERGERY Sophie(F)-6;71-BERGERY Sophie(F)-F;71-BERGERY Sophie(F)-MG;71-BERGERY Sophie(F)-MF;1177;V;0;71-BERGERY Sophie(F)-V;71-BERGERY Sophie(F)-CHPT DPT route;71-BERGERY Sophie(F)-ROUTE;71-BERGERY Sophie(F)-CHPT DPT clm;71-BERGERY Sophie(F)-CLM INDIV;71-BERGERY Sophie(F)-CHPT DPT cyclo-cross;71-BERGERY Sophie(F)-CYCLO-CROSS
C_55;200071-BERLAND David;2000,1176;262;71-BERLAND David;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;71-BERLAND David-1;71-BERLAND David-2;71-BERLAND David-3;71-BERLAND David-4;71-BERLAND David-5;71-BERLAND David-6;71-BERLAND David-F;71-BERLAND David-MG;71-BERLAND David-MF;1176;SV;0;71-BERLAND David-SV;71-BERLAND David-CHPT DPT route;71-BERLAND David-ROUTE;71-BERLAND David-CHPT DPT clm;71-BERLAND David-CLM INDIV;71-BERLAND David-CHPT DPT cyclo-cross;71-BERLAND David-CYCLO-CROSS
C_56;100071-BERLIE Pierre-Yves;1000,1175;306;71-BERLIE Pierre-Yves;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;71-BERLIE Pierre-Yves-1;71-BERLIE Pierre-Yves-2;71-BERLIE Pierre-Yves-3;71-BERLIE Pierre-Yves-4;71-BERLIE Pierre-Yves-5;71-BERLIE Pierre-Yves-6;71-BERLIE Pierre-Yves-F;71-BERLIE Pierre-Yves-MG;71-BERLIE Pierre-Yves-MF;1175;V;0;71-BERLIE Pierre-Yves-V;71-BERLIE Pierre-Yves-CHPT DPT route;71-BERLIE Pierre-Yves-ROUTE;71-BERLIE Pierre-Yves-CHPT DPT clm;71-BERLIE Pierre-Yves-CLM INDIV;71-BERLIE Pierre-Yves-CHPT DPT cyclo-cross;71-BERLIE Pierre-Yves-CYCLO-CROSS
C_57;1100071-BERNE Olivier;11000,1174;67;71-BERNE Olivier;11;0;0;0;0;11;0;0;0;0;1;9;0;1;0;0;71-BERNE Olivier-1;71-BERNE Olivier-2;71-BERNE Olivier-3;71-BERNE Olivier-4;71-BERNE Olivier-5;71-BERNE Olivier-6;71-BERNE Olivier-F;71-BERNE Olivier-MG;71-BERNE Olivier-MF;1174;A;0;71-BERNE Olivier-A;71-BERNE Olivier-CHPT DPT route;71-BERNE Olivier-ROUTE;71-BERNE Olivier-CHPT DPT clm;71-BERNE Olivier-CLM INDIV;71-BERNE Olivier-CHPT DPT cyclo-cross;71-BERNE Olivier-CYCLO-CROSS
C_58;800071-BERNOLLIN Jérémy;8000,1173;107;71-BERNOLLIN Jérémy;8;0;8;0;0;0;0;0;0;0;1;4;0;3;0;0;71-BERNOLLIN Jérémy-1;71-BERNOLLIN Jérémy-2;71-BERNOLLIN Jérémy-3;71-BERNOLLIN Jérémy-4;71-BERNOLLIN Jérémy-5;71-BERNOLLIN Jérémy-6;71-BERNOLLIN Jérémy-F;71-BERNOLLIN Jérémy-MG;71-BERNOLLIN Jérémy-MF;1173;V;0;71-BERNOLLIN Jérémy-V;71-BERNOLLIN Jérémy-CHPT DPT route;71-BERNOLLIN Jérémy-ROUTE;71-BERNOLLIN Jérémy-CHPT DPT clm;71-BERNOLLIN Jérémy-CLM INDIV;71-BERNOLLIN Jérémy-CHPT DPT cyclo-cross;71-BERNOLLIN Jérémy-CYCLO-CROSS
C_59;000071-BERT Roger;0,1172;378;71-BERT Roger;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71-BERT Roger-1;71-BERT Roger-2;71-BERT Roger-3;71-BERT Roger-4;71-BERT Roger-5;71-BERT Roger-6;71-BERT Roger-F;71-BERT Roger-MG;71-BERT Roger-MF;1172;A;0;71-BERT Roger-A;71-BERT Roger-CHPT DPT route;71-BERT Roger-ROUTE;71-BERT Roger-CHPT DPT clm;71-BERT Roger-CLM INDIV;71-BERT Roger-CHPT DPT cyclo-cross;71-BERT Roger-CYCLO-CROSS
C_60;700071-BERTHAUT Abel;7000,1171;132;71-BERTHAUT Abel;7;0;0;0;2;5;0;0;0;0;1;6;0;0;0;0;71-BERTHAUT Abel-1;71-BERTHAUT Abel-2;71-BERTHAUT Abel-3;71-BERTHAUT Abel-4;71-BERTHAUT Abel-5;71-BERTHAUT Abel-6;71-BERTHAUT Abel-F;71-BERTHAUT Abel-MG;71-BERTHAUT Abel-MF;1171;C;0;71-BERTHAUT Abel-C;71-BERTHAUT Abel-CHPT DPT route;71-BERTHAUT Abel-ROUTE;71-BERTHAUT Abel-CHPT DPT clm;71-BERTHAUT Abel-CLM INDIV;71-BERTHAUT Abel-CHPT DPT cyclo-cross;71-BERTHAUT Abel-CYCLO-CROSS
C_61;000071-BERTHELOT Jacky;0,117;379;71-BERTHELOT Jacky;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71-BERTHELOT Jacky-1;71-BERTHELOT Jacky-2;71-BERTHELOT Jacky-3;71-BERTHELOT Jacky-4;71-BERTHELOT Jacky-5;71-BERTHELOT Jacky-6;71-BERTHELOT Jacky-F;71-BERTHELOT Jacky-MG;71-BERTHELOT Jacky-MF;1170;SA;0;71-BERTHELOT Jacky-SA;71-BERTHELOT Jacky-CHPT DPT route;71-BERTHELOT Jacky-ROUTE;71-BERTHELOT Jacky-CHPT DPT clm;71-BERTHELOT Jacky-CLM INDIV;71-BERTHELOT Jacky-CHPT DPT cyclo-cross;71-BERTHELOT Jacky-CYCLO-CROSS
C_62;1100071-BERTOUX Christian;11000,1169;68;71-BERTOUX Christian;11;0;0;0;0;11;0;0;0;0;1;10;0;0;0;0;71-BERTOUX Christian-1;71-BERTOUX Christian-2;71-BERTOUX Christian-3;71-BERTOUX Christian-4;71-BERTOUX Christian-5;71-BERTOUX Christian-6;71-BERTOUX Christian-F;71-BERTOUX Christian-MG;71-BERTOUX Christian-MF;1169;A;0;71-BERTOUX Christian-A;71-BERTOUX Christian-CHPT DPT route;71-BERTOUX Christian-ROUTE;71-BERTOUX Christian-CHPT DPT clm;71-BERTOUX Christian-CLM INDIV;71-BERTOUX Christian-CHPT DPT cyclo-cross;71-BERTOUX Christian-CYCLO-CROSS
C_63;300071-BERTRAND Christian;3000,1168;235;71-BERTRAND Christian;3;0;0;0;2;1;0;0;0;0;1;2;0;0;0;0;71-BERTRAND Christian-1;71-BERTRAND Christian-2;71-BERTRAND Christian-3;71-BERTRAND Christian-4;71-BERTRAND Christian-5;71-BERTRAND Christian-6;71-BERTRAND Christian-F;71-BERTRAND Christian-MG;71-BERTRAND Christian-MF;1168;A;0;71-BERTRAND Christian-A;71-BERTRAND Christian-CHPT DPT route;71-BERTRAND Christian-ROUTE;71-BERTRAND Christian-CHPT DPT clm;71-BERTRAND Christian-CLM INDIV;71-BERTRAND Christian-CHPT DPT cyclo-cross;71-BERTRAND Christian-CYCLO-CROSS
